['Random Nothings'],"['September 7, 2019']",['Rated 3 stars out of five stars'],"['It was a 5 stars but I am upset with the new update. The new insight probably the most, you can\'t go back to those past months and read them it just says the emotion you felt the most that month. On top of that I personally think that the old conversation display was better now it\'s more in your face. I can see some good in the new part of ""why I feel this way"" Section but the percentage of the emotion you\'re feeling just isn\'t as good as I think it was. Still a good app but it was better.']"
['Jenni Gaffney'],"['September 15, 2019']",['Rated 4 stars out of five stars'],"['Developers, this is a very good app, but you should know that on my phone it\'s impossible to choose ""homemaker"" or ""suggested by a professional"" because the ""enter"" button completely overlaps the last option. Also, it won\'t allow me to move on, so i picked lies. 😉']"
['Mina Stanikić'],"['September 10, 2019']",['Rated 5 stars out of five stars'],"[""Absolutely amazing app. It is so advanced and the best app out there for mental health. It truly helps me because I am unable to afford a private psychologist. I am not a fan of the meditations part but that is just my personal opinion,because i am extremely picky with meditations anyway. Meditation and therapy don't go together in my opinion, but it might help some and it is good that they give you an option.""]"
['Rhianna Lee'],"['September 11, 2019']",['Rated 5 stars out of five stars'],"[""This app is helping me so much. It is automated replies and information but it is GOOD stuff. It's very insightful and the app does a great job of allowing you to check in and ground yourself. I use this app to gain mindfulness and to be more present and it actually helps to journal it with this app. Plus there are meditations and exercises to assist if you want! Truly resourceful. And it's free. Wow. Just wow. Thank you so much to the creators of this app!""]"
['crystal S.'],"['September 5, 2019']",['Rated 5 stars out of five stars'],"[""I just started using this app today, although I've had it for some time. I am absolutely loving it!! I dont make much time for myself (I have 6 kids) and this app is a great way for me to check in on how I'm doing and improve my well-being. I'm learning about myself again, which is super important to me. Thank you to the creators of this app, sincerely from the bottom of my heart.""]"
['TheLiving Dead'],"['September 13, 2019']",['Rated 5 stars out of five stars'],"[""Downloaded this when I wasn't feeling the greatest. I've only used it a couple days but it's been tremendously helpful in analyzing why I feel a certain way and helping me regain objectivity. So far I've always felt better and more in control after every time I've used it.""]"
['Anna Munsey-Kano'],"['September 9, 2019']",['Rated 5 stars out of five stars'],"[""I haven't been using this app for very long but I think it's a brilliant way to get people reflecting on who they are, what they feel, and how they operate in the world. The conversation element combined with the data keeping and the personality foundation makes this a well rounded tool that is likely to work for a wide range of people, regardless of style or preferences! Very impressed with this app so far and glad it exists. Give it a try! No reason not to. It's free and user-friendly!""]"
['Estu Glx'],"['September 12, 2019']",['Rated 2 stars out of five stars'],['Got much worse after update. It looks like designers not using the app themselves. 1. Month overview with colored dates instead of line graphs does not makes sense. 2. It is hard to find factors due to cluttered icons instead of nicely broken down factors. 3. 1% increment for mood estimation is too small. I see new version was result of feedbacks but recent reviews shows lots of people are disappointed. It did not happen to that extent before. Just step back and reconsider that design solutions']
['Vasilia Davlanti'],"['September 9, 2019']",['Rated 5 stars out of five stars'],"[""This app is a blessing. It has helped me through the times i needed support and it is a great way to achieve better understanding of one's self. It has a lot of things to offer and i would like to congratulate the creators with all my heart. The only thing i would like to suggest is adding OCD to the health monitoring section, as it would be extremely appreciated!""]"
['Rhiannon Mitchell'],"['September 7, 2019']",['Rated 5 stars out of five stars'],"[""In love with this app!! It feels like having a therapist with you at all times! A really great addition to anyone's self-care kit! Highly recommend for everyone but especially for anyone dealing with anxiety or depression. Good job youper 👍""]"
['Veronica B.'],"['September 13, 2019']",['Rated 5 stars out of five stars'],"[""This app helped me during a stressful moment and since I decided to try it out, I'm so happy with its simplicity and design! It's so calming and relaxing. I can't wait for Youper to develop more options during chat mode.""]"
['Myrcella Baratheon'],"['September 9, 2019']",['Rated 5 stars out of five stars'],"[""amazing app! it really helps me with misunderstandings and hard times in life. I'm grateful for all the lessons, but i think i need to taught myself to use it more often. i neglect it sometimes even though it's helpful""]"
['Daniel Garcia'],"['September 3, 2019']",['Rated 5 stars out of five stars'],"[""It's great! It works as a mental health journal and a meditation app. For free! Very nice interface and truly makes you feel like you have a therapist I'll n your pocket when your going through a daily crisis.""]"
['oliy angery'],"['September 13, 2019']",['Rated 2 stars out of five stars'],"['so I\'m having a convo with it, and then it gives me a couple of options. ""explore what\'s making me feel this way"" and then it\'s like OH you haven\'t subscribed, lol loser. then it ends the convo when I don\'t subscribe! I don\'t want to subscribe! other than this it\'s great but just have a little locked sign at least next to the premium options... its making me really frustrated. you push premium so much already why in the convos? pls stop that, I can be relieved from stress without buying premium.']"
['Luna Cynder'],"['September 7, 2019']",['Rated 5 stars out of five stars'],"['I really love this app, I find it so helpful to write down how I feel and acknowledge my emotions a lot more. The fact you can track what is effecting your emotions is amazing too and one of my favourite things.']"
['Cheryl Broughton'],"['September 13, 2019']",['Rated 5 stars out of five stars'],['So far this has been a great experience. I have ptsd and adhd. This app is actually helping to guide me through thoughts and emotions using cognative behavioral therapy techniques which is the best therapy for my conditions. Im very happy I discocered this app!']
['Reythe Hermann'],"['September 8, 2019']",['Rated 5 stars out of five stars'],"['Amazing app that helps you walk through your thoughts and, negative cycles. I use this whenever I feel uneasy and, it helps the uneasiness pass so much faster. As well as helping me figure out past trauma.']"
['Dog Vlogs'],"['September 8, 2019']",['Rated 5 stars out of five stars'],"['This app is just lovely. I can really find myself, and theres nothing better than being understood. I have social anxiety, and I finally found an app that explain to me how what Im going through. Thank you so much, Youper Inc.']"
['Luisa Abadeer'],"['September 2, 2019']",['Rated 5 stars out of five stars'],['Such a nice way of reflecting on your mood and getting some insight or eventually changing it for the better. I love the different features and that it imitates a conversation. Also as a psychology student really cool to read some things that i already actually learned about!']
['Marica Mc Curius'],"['September 10, 2019']",['Rated 5 stars out of five stars'],"['This is truly an amazing app,i found it today.i was not in a happy mood at all and after registering and answer questions and having a conversation i felt much better...thank u youper.. trust me! Its worth all the heartache and discouragement and lonely nights... download it now']"
['Melissa Harker'],"['September 3, 2019']",['Rated 5 stars out of five stars'],"[""Amazing app that really has helped me a lot over the last year. If you have anxiety or even if you don't, it's a good way to check in with yourself and pick up mental health skills. Love it.""]"
['Sadie H'],"['September 8, 2019']",['Rated 5 stars out of five stars'],"[""Very easy to use, convenient, well designed, and it actually works. I couldn't praise this app enough. I've searched endlessly for an app like this, and I think I finally found a keeper.""]"
['ElleZ'],"['September 10, 2019']",['Rated 5 stars out of five stars'],"['I just started using Youper, and so far I love it! The interface is simple yet sophisticated. This app really helps me evaluate my thoughts and emotions. I will update this review as I go.']"
['Anna Pawlik'],"['September 10, 2019']",['Rated 2 stars out of five stars'],"[""The AI is too pushy with the subscription plans. It almost feels like it's trying to bully vulnerable people into paying. Not all people can afford these prices and saying that 'they don't consider their mental health worth the cost' is just rude.""]"
['Stephanie Joseph 스테파니 조셉'],"['September 8, 2019']",['Rated 5 stars out of five stars'],['Great so far! I just took the personality trait test and was astounded by how accurate the information was! I even learned a bit more about myself and am very glad to have downloaded this app 😁']
['marissa conley'],"['September 13, 2019']",['Rated 5 stars out of five stars'],['This app is amazing. I have had two conversation with youper and had my first meditation today and it is helping me so much already. After my meditation i feel so calm and relaxed.']
['Jordyn Johnson'],"['September 14, 2019']",['Rated 5 stars out of five stars'],['I am enjoying this app so far. It is easy to navigate and it helps me get the motivation i need when i need it!']
['Stephanie Bias'],"['September 4, 2019']",['Rated 5 stars out of five stars'],"['Been struggling a lot lately. This app has helped me tremendously after just one use!! Definitely recommend, especially for those like myself who cannot afford actual therapy.']"
['Chelsea Anikina'],"['September 4, 2019']",['Rated 5 stars out of five stars'],"['So far it has helped me track my mood swings, and given me insight into my mental health. Also the voice of Youper is very friendly and calming to me. Thank you for caring.']"
['Christine'],"['September 7, 2019']",['Rated 5 stars out of five stars'],['I really like the app. The new thinking traps function is helpful for realigning your thoughts or taking a bit of a new perspective towards the issue.']
['Molly B.'],"['September 11, 2019']",['Rated 5 stars out of five stars'],"['This app is amazing! Has multiply meditation routines, and allows me to track how I feel through the day. Such a simple smooth running app! I love it! :)']"
['Leah Wood'],"['September 5, 2019']",['Rated 5 stars out of five stars'],"[""So far, I've really enjoyed the versatility of this app. The personality test is well executed and is very helpful information. I'm excited to see how things go.""]"
['Maggzzz Lewizzz'],"['September 4, 2019']",['Rated 5 stars out of five stars'],"[""Love it so far. Very helpful with my anxiety. And easy to use. I'm learning a lot about myself!! My new favorite app!! Thank you Youper!! 🤗""]"
['Tyler Smith'],"['September 6, 2019']",['Rated 4 stars out of five stars'],"['Finally the new update is running smoothly! Did not like it at first, but after the issues were ironed out, it grew on me. Great app']"
['Natasha Ridley-Duff'],"['September 6, 2019']",['Rated 2 stars out of five stars'],"[""I understand developers need to make money. But I'm not happy with the pushy tone of the AI in trying to persuade me to buy a subscription. When I didn't subscribe I was asked why I didn't want to and chose the option 'too expensive' (it's $11.99 per month). I was then patronisingly told that I cared about my emotional health but didn't think our conversations were worth the cost. I was then asked AGAIN to subscribe. I was considering trying Premium for a month but I will not now.""]"
['A Google user'],"['August 25, 2019']",['Rated 3 stars out of five stars'],"['The newest update definetly has some critiquing left to do. The new format looks prettt nice, but the text moves to fast to really read through as you go, and theres no obvious option to change the speed. I also liked a lot more of the wide range of ""factors"" than the small linited selection there is now. A good update, but needs some more working!']"
['Samantha Davis'],"['July 21, 2019']",['Rated 5 stars out of five stars'],"[""Love this app! The Youper app has really been helping me with my anxiety & depression. It checks in during the day and asks me how I'm feeling. As it tracks my mood, it also helps me dive deep into my emotions, figure out why I'm feeling the way I am, identify thinking traps, and helps me escape them. It has made a huge difference in my mental health. I think everyone should try this!""]"
['Caseo'],"['August 18, 2019']",['Rated 5 stars out of five stars'],['I love this app so much! Tracking my emotions has been a vital part in takimg care of my mental health. This app has made me critically think about my emotions and the thoughts/events leading up to each emotion. I enjoy being asked deeper questions into my thought process - really makes you think for yourself! I also enjoy the guided meditations (even though some are edited a little weird). I recommend this app to anyone wanting to learn more about their emotions 💛✨ Good luck on your healing']
